Boston, New York, USA	42.6289858 -78.7376213
Baquedano, Antofagasta Region, Chile	-23.3338059 -69.8434733
John's Pass, Florida, USA	27.785866650000003 -82.78226986536532
Soi Cowboy, Thailand	13.7371279 100.5614453
Marzahn, Berlin, Germany	52.5429481 13.563142
Concord, Ontario, Canada	43.8003622 -79.4993876
Olds, Alberta, Canada	51.7923735 -114.1130367
Madras, India	13.0836939 80.270186
North Highlands, California, USA	38.6710975 -121.38795381804641
La Selva, Catalonia, Spain	41.8987652 0.8872166
Yichang, Hubei, China	30.694088 111.2803074
Goury, Manche, France	49.7157443 -1.9456243
Jalan Raja, Kuala Lumpur, Malaysia	3.149995 101.6945778
De Haan, West Flanders, Belgium	51.26711375 3.040837568315692
Yawatahama, Ehime, Japan	33.4627983 132.4235208
Braunlage, Lower Saxony, Germany	51.7264388 10.6100516
131 Rue des Poissonniers, Paris, France	48.8946282 2.3528023
Robot Restaurant, Tokyo, Japan	35.6943636 139.7028304
Ahlsdorf, Saxony-Anhalt, Germany	51.5443908 11.4683758
Monongahela, Pennsylvania, USA	40.2031265 -79.9261603
Belize	16.8259793 -88.7600927
Mayer State Park, Oregon, USA	45.6803257 -121.2977120177136
Isabel, South Dakota, USA	45.3941475 -101.429593
Hillsdale, New Jersey, USA	41.0025975 -74.0404175
Opa-Locka, Florida, USA	25.9023168 -80.2503271
Carlisle, Pennsylvania, USA	40.201499 -77.1890783
Illinois State University Normal, Illinois, USA	40.51799375 -89.00846070697986
La Esperanza, Guerrero, Mexico	17.760321 -99.2484782
Cumberland Park, South Australia, Australia	-34.9720383 138.5866928
Ulm, Germany	48.3974003 9.9934336
Am Hof, Cologne, Germany	50.9399385 6.9581922
Saint-Forget, Yvelines, France	48.7094457 1.99396
Sheremetyevo 1 Airport, Moscow, Russia	55.97608755 37.4238008194297
Rosamond, California, USA	34.871511 -118.21577475000001
Bornheim, Rhineland-Palatinate, Germany	49.7814558 8.0637479
Pemuteran Bay, Bali, Indonesia	-8.1448438 114.6514284
Lumijoki, Finland	64.8384044 25.1868431
Santorin, Greece	36.4071112 25.456663652707153
Jefferson County, Colorado, USA	39.5699803 -105.2561919
Boone County, Indiana, USA	40.0459913 -86.4650842
Margraten, Limburg, Netherlands	50.8201564 5.8216625
Cavendish, Prince Edward Island, Canada	46.4912529 -63.3785021
Rex, Georgia	32.531228 -82.883239
Mariscala, Lavalleja, Uruguay	-34.0418823 -54.7770375
Petone, Lower Hutt 5012, New Zealand	-41.2249675 174.8790351
Rocky View County, Alberta, Canada	51.3699347 -114.014186
Twin Lakes, New Mexico, USA	35.684068 -108.76861266666666
Fourmies, Nord, France	50.0171741 4.0458492
Piazza Pietro D'Illiria, Roma, Lazio	41.8841271 12.4800346
Cabri, Saskatchewan, Canada	50.6187301 -108.4611856
Saint Vincent, Valle d'Aosta, Italy	45.7503861 7.647884
Himanka, Finland	64.0628458 23.6530833
Hem-Hardinval, Somme, France	50.1631873 2.3035521
Hoquiam, Washington, USA	46.980929 -123.889335
Le Roy, Illinois, USA	40.3519795 -88.764237
Candor, New York, USA	42.2325723 -76.3422525
Wilmette, Illinois, USA	42.0757315 -87.7193768
Bushkill, Pennsylvania, USA	41.093429 -75.0018401
Sochaux, Doubs, France	47.5138206 6.8303896
Elko, MN 55020, USA	44.5646862 -93.326889
McCalla, Alabama, USA	33.3062319 -87.0241656
Millington, Illinois, USA	41.5631643 -88.6007342
Berg Wendelstein, Bavaria, Germany	49.3416868 11.1161916
Otto, North Carolina, USA	35.0600921 -83.3876547
Newbury Park, California, USA	34.183671 -118.91183
Virgin, Utah, USA	37.201902 -113.1878542
Ellenboro, North Carolina, USA	35.3287949 -81.7587106
DGI-Byen, Copenhagen, Denmark	55.66936175 12.564820453722719
Vail, Colorado, USA	39.6440207 -106.3801669
Nobeyama, Japan	35.9553038 138.4746495
East Norwich, New York, USA	40.8523804 -73.52433329215306
Montalegre, Portugal	41.8232206 -7.7923142
Mount Bromo, East Java, Indonesia	-7.9420691 112.9529769
Wayne, Nebraska, USA	42.1941294 -97.169623
Mucharz, Malopolskie, Poland	49.812017 19.5584908
Lenti, Hungary	46.6245749 16.5366668
Bnei Brak, Israel	32.0873899 34.8324376
West Homestead, Pennsylvania, USA	40.3939581 -79.9119946
Panaji, Goa, India	15.4989946 73.8282141
Torrey Pines State Natural Reserve, California, USA	32.9160702 -117.24818826237262
39 Windsor Street Uxbridge, England, UK	51.5460797 -0.4797564
Badoc, Ilocos Norte, Philippines	17.9267006 120.4740893
West Monroe, Louisiana, USA	32.5184775 -92.1476353
Harvey, Illinois, USA	41.6100344 -87.6467132
Richmond, Virginia, USA	37.5385087 -77.43428
Hanspaulka, Prague, Czech Republic	50.1045534 14.3765377
Ma'alot, Israel	31.78481965 35.21264360343469
General Medical Hospital, Dhaka, Bangladesh	23.7383957 90.3877204
Overland, Missouri, USA	38.7011626 -90.3623381
Slawnikowice, Poland	51.1803004 15.1735773
North Burnaby, British Columbia, Canada	49.27762195 -122.9719523432187
Karoo National Park, South Africa	-32.2668193 22.311933590593494
North Easton, Massachusetts, USA	42.0667665 -71.1036592
Kent, Illinois, USA	42.3086275 -89.9020667
Spring Lake, North Carolina, USA	35.1679396 -78.9728056
Via di San Gregorio, Rome, Italy	41.8884822 12.490244
Rhode Island, USA	41.7962409 -71.5992372
La Conner, Washington, USA	48.3918865 -122.4942488
Matamata, Waikato, New Zealand	-37.8095635 175.7732759
Fairbury, Illinois, USA	40.7472566 -88.5147789
Alcazaba, Malaga, Spain	36.72244875 -4.416430280951179
Ayioi Trimithias, Nicosia, Cyprus	35.11857315 33.254432027915456
Abu Simbel Temple, Abu Simbel, Egypt	22.3368707 31.6257433
Cabanas, Algarve, Portugal	37.1717608 -7.6200473
The Ward Theatre, Kingston, Jamaica	17.97254045 -76.79233217333118
Marysville, Washington, USA	48.0517429 -122.1768209
Ishinomaki City, Miyagi Prefecture, Japan	38.43504905 141.30142103457578
Columbia	4.099917 -72.9088133
Fremont, Wisconsin, USA	44.255619 -88.86326212970152
Toronto, Ontario, Canada	43.6534817 -79.3839347
Halmstad, Hallands l�n, Sweden	56.678971 12.7739293
Cibola, Arizona, USA	33.3758167 -114.6659991
Lloyd Harbor, New York, USA	40.9034315 -73.4598432
Padua, Italy	45.4077172 11.8734455
North Brunswick, New Jersey, USA	40.445601350000004 -74.48929600038443
Flat Rock, Newfoundland and Labrador, Canada	48.89768205 -53.79799367152697
Rhondda Cynon Taff, Wales, UK	51.60104405 -3.340709112198313
Atolia, California, USA	35.3146869 -117.6092257
Beaver Island, Michigan, USA	45.666078150000004 -85.55442159714224
Rheinparkweg, Cologne, Germany	50.9450578 6.971059
Randolph Center, Vermont, USA	43.9408988 -72.607603
Baker, California, USA	35.0421963 -117.6675604
Cape Leeuwin, Australia	-34.3767627 115.1360757
Dorset, Ontario, Canada	45.2438734 -78.8939357
Almont, Colorado, USA	38.6647149 -106.8461506
Patterson, Louisiana, USA	29.6943026 -91.3051275
Clinton, New Jersey, USA	40.6362878 -74.9116603
Tindouf, Tindouf, Algeria	27.6718402 -8.1397297
Alsbach, Hessen, Germany	49.741967 8.6216694
Alberche, Madrid, Spain	40.4081108 -4.6687011
Luang Prabang, Laos	19.8887438 102.135898
Chappell Hill, Texas, USA	30.141529 -96.2567185
Bath Spa, England, UK	51.3776019 -2.3567189
Henley Beach, South Australia, Australia	-34.9158802 138.4986953
Rayne, Louisiana, USA	30.234925 -92.2684617
Potomac, Maryland, USA	39.0180508 -77.1956331355745
Portbou, Catalonia, Spain	42.4274333 3.1588785
Mayumba, Gabon	-3.4310453 10.6543709
Yagul, Oaxaca, Mexico	17.0554512 -96.7336158
St Albans, Hertfordshire, England UK	51.7492956 -0.3422526
Yucca, California, USA	33.3497869 -116.7266877
521 West 145th Street, New York, USA	40.82558479591837 -73.94821726530613
Kent, Ohio, USA	41.1536674 -81.357886
Marangu, Tanzania	-3.1147251 37.6342096
Garrettsville, Ohio, USA	41.284222 -81.096486
623 S Pacific Ave San Pedro, California, USA	33.73848483673469 -118.28800167346938
Bonson, Loire, France	45.5225917 4.2154175
New Buffalo, Michigan, USA	41.7952562 -86.7444526
Maroochydore, Queensland, Australia	-26.6556523 153.0946684
Paxico, Kansas, USA	39.069443 -96.166383
White Oaks, New Mexico, USA	33.7475738 -105.7363739
Liar's Bridge, Sibiu, Romania	45.7983625 24.1508412
Choc�, Colombia	14.0302613 -60.9782218
Augusta, Illinois, USA	40.2300454 -90.9501342
Kozbeyli, Izmir, Turkey	38.7153437 26.8947139
Empire City, New York, USA	40.6900924 -73.9068011
Lab111, Amsterdam, Netherlands	52.3636724 4.8672486
Frankfort, Germany	50.1106444 8.6820917
Berlin-Wedding, Berlin, Germany	52.5427866 13.3669996
Arkaroola Wilderness Sanctuary, South Australia, Australia	-30.3116202 139.3362146
La Brea, California, USA	34.0248103 -118.3551479
Morris-Jumel Mansion, New York, USA	40.834428700000004 -73.93857955
Le Plessis Robinson, Hauts de Seine, France	48.7811049 2.2619632
Lomazzo, Lombardy, Italy	45.6986672 9.0357024
Brdy, Czech Republic	49.7107552 13.8767817
Bolinao, Pangasinan, Philippines	16.3886595 119.8932117
Sankt Peter-Ording, Hamburg, Germany	54.314084300000005 8.609178139592316
Crystal, Minnesota, USA	45.031823 -93.3606072
Farmington Hills, Michigan, USA	42.4853125 -83.3771553
Provincetown, Massachusetts, USA	42.0525612 -70.1858639
Rattlesnake Point Conservation Area, Ontario, Canada	43.4706925 -79.915066346497
Uferpromenade, Kladow, Germany	52.4689735 13.1177704
2333 34th Street South, St. Petersburg, Florida USA	27.746986001800582 -82.6794005108387
Brookvale, New South Wales, Australia	-33.7628854 151.2707024
Cassiar Mountains, British Columbia, Canada	59.856527 -129.4446503
Sherwood Farm, Connecticut, USA	41.0366054 -73.6549105
12955 Main St Garden Grove, California, USA	33.774706770080805 -117.9410481859005
Monforte d'Alba, Italy	44.582438 7.969637
Wood Buffalo National Park, Alberta, Canada	59.383052750000004 -112.72922805313976
Solidaridad, Quintana Roo, Mexico	20.584374699999998 -87.50345268296755
Mineral Wells, Texas, USA	32.8084605 -98.1128223
Burg Schweinsberg, Hessen, Germany	50.7675313 8.961279367890963
Guz�w, Mazowieckie, Poland	52.8922065 20.286019
�greville, France	49.3921455 -1.5443452
Basaseachic, Mexico	31.7154448 -106.4345176
Ahr, Rhineland-Palatinate, Germany	50.4728741 6.9477258
Caruaru, Pernambuco, Brazil	-8.2829702 -35.9722852
St. Helena Parish, Louisiana, USA	30.8080103 -90.6932182
Ballenstedt, Saxony-Anhalt, Germany	51.722527 11.2290268
Martinikerk, Groningen, Netherlands	53.21951205 6.56881763518092
Las Heras, Mendoza, Argentina	-34.6278817 -68.3319723
Vernazza, Liguria, Italy	44.1349412 9.6827757
Strada Ion Campineanu, Bucharest, Romania	44.4376095 26.0953422
Ochsenweg, Schleswig-Holstein, Germany	54.0478051 9.9698589
Nolichucky River, Tennessee, USA	36.151565 -82.442149
Riverstone, New South Wales, Australia	-33.6797545 150.8616695
Orange County California, USA	33.7500378 -117.8704931
Yarra, Victoria, Australia	-37.7295526 145.4981195
Centre-Val de Loire, France	47.5490251 1.7324062
Slovenia	45.8133113 14.4808369
Herzsprung, Brandenburg, Germany	52.9782478 13.999670492037
Palmer Lake, Colorado, USA	39.1222138 -104.917204
Lake Winnipeg, Manitoba, Canada	52.0887253 -97.24370410088028
Ma'ayan Tzvi, Israel	32.5683241 34.9400745
Pylos, Greece	36.9137968 21.6963888
Pietrosita, Romania	45.1895346 25.443109
Cortez, Florida, USA	27.463983499999998 -82.66833164315068
West Africa	5.6343285000000005 -0.20012477770047185
Uxbridge, Ontario, Canada	44.1088502 -79.1226768
East Corinth, Vermont, USA	44.0639541 -72.2223163
Geitung, Norway	60.3899306 5.0706667
Birney, Montana, USA	45.321657 -106.515037
Rosh Ha'ayin, Israel	32.120636 34.9344635
Trebbin, Brandenburg, Germany	52.2150361 13.2140282
Sachse, Texas, USA	32.9762327 -96.5952703
Lubomierz, Dolnoslaskie, Poland	51.0124569 15.51022
Skela, Serbia	44.67981 20.0522615
Jesenice, Slovenia	46.4323791 14.0623337
Wen Zhou, China	33.1444336 116.1972468
Norridge, Illinois, USA	41.9633641 -87.827284
Pacasmayo, La Libertad, Peru	-7.4256489 -79.4339502
Tilos Island, Greece	36.42930045 27.316339433417117
Michigan City, Indiana, USA	41.7075394 -86.8950297
Krommenie, Holland	52.4954557 4.7664946
Baldwin, Georgia, USA	34.4917665 -83.5373947
Achim, Lower Saxony, Germany	53.0068811 9.0425504
Desert Hills, Arizona, USA	34.5546255 -114.37479084599786
Kfar Shalem, Tel Aviv, Israel	32.0513786 34.8062801
Chirukhi, Georgia	41.4685115 42.4747729
Lisnagry, Co. Limerick, Ireland	52.68857565 -8.515102680036312
Quincy, Illinois, USA	39.9356016 -91.4098727
Robertson, Australia	-34.59 150.5927778
MBO ROC Hilversum, Netherlands	52.2152386 5.188437079728743
Purcell, Oklahoma, USA	35.0136831 -97.3611395
Redesdale,Victoria, Australia	-37.020796 144.5315217
Siam Square, Bangkok, Thailand	13.74460455 100.53310071574116
Montgomery, Alabama, USA	32.3669656 -86.3006485
Wipptal, Tirol, Austria	47.129249 11.4514203
Cham, Bavaria, Germany	49.2178194 12.6663832
252 Decatur St. Brooklyn, New York, USA	40.6812733 -73.93325865394911
Portugal	40.0332629 -7.8896263
Vacaville, California, USA	38.3565773 -121.9877444
Avenida Club, S�o Paulo, Brazil	-23.2657984 -45.9457317
Hacienda San Gaspar, Morelos, Mexico	18.8784696 -99.1930992
Burnett, Texas, USA	33.5556605 -96.0291384
Kansas, USA	38.27312 -98.5821872
Narrabeen, New South Wales, Australia	-33.7135699 151.2978164
Venice, CA 90292, USA	33.988334949999995 -118.46152716615018
Mjedenica, Sarajevo, Bosnia and Herzegovina	43.8552901 18.4237485
Becker, Texas, USA	32.4929162 -96.2069209
Uppsala l�n, Sweden	59.6166927 16.5753177
Gippsland, Victoria, Australia	-37.87437 146.91145036930226
Argueil, Normandy, France	49.54221 1.5144499
Lokve, Gorski kotar, Croatia	45.3581828 14.750644
Safety Beach, Victoria, Australia	-38.3153642 145.000282
Riverhead, New York, USA	40.9170435 -72.6620402
Prince, Ontario, Canada	44.031827 -77.246933
Kronshtadt, St. Petersburg, Russia	60.014495 29.7048001
Port of Algiers, Algiers, Algeria	36.76366885 3.0609741841538014
Nunica, Michigan, USA	43.0797424 -86.0672715
Danzig, Germany	51.48030755 6.61620795087333
Riesa, Saxony, Germany	51.3038241 13.308828
Stankuny, Podlaskie, Poland	54.3996308 22.8470196
Chateau Clos Fourtet, Saint Emilion France, France	44.9003708 -0.16281
Amiens, Somme, France	49.8941708 2.2956951
Riesi, Sicily, Italy	37.2819611 14.0824138
Tsukubamirai, Ibaraki Prefecture, Japan	35.9630137 140.0369949
Killeen, Texas, USA	31.1171441 -97.727796
Revere, Massachusetts, USA	42.4084302 -71.0119948
Grossmittel, Lower Austria, Austria	47.8943426 16.2970719
Brcko, Bosnia-Herzegovina	44.8771222 18.8095022
Creully, Calvados, France	49.28596865 -0.543359267952703
Schmallenberg, North Rhine-Westphalia, Germany	51.1525937 8.2836014
Chistye Prudy, Moscow, Russia	55.7658225 37.6390322
Greenup, Kentucky, USA	38.5731349 -82.8301677
Valdek Castle, Czech Republic	49.77521625 13.893522065781355
Saint-Gratien, Val-d'Oise, France	48.9703664 2.2840639
Crosshaven, Co. Cork, Ireland	51.8023829 -8.2953269
Makinohara, Shizuoka, Japan	34.718766 138.18517
Sambil, Caracas, Venezuela	10.4896132 -66.853711
Cosford, England, UK	52.6484531 -2.2953909
Stockerau, Lower Austria, Austria	48.3846124 16.2076303
Spirit Lake, Iowa, USA	43.4221843 -95.1022169
Lincoln Park, Washington, USA	38.88979375 -76.98991662565561
Iskenderun, Turkey	36.6215136 36.26541810027814
Studio 51, Helsinki, Finland	60.2052705 24.9245619
Maggie Valley, North Carolina, USA	35.5181575 -83.0976419
Helenesee, Brandenburg, Germany	52.270072 14.497920526473688
Todai Ji, Nara, Japan	34.6885972 135.8398557
Shonto, Arizona, USA	36.5895965 -110.6649730782967
Meilahti, Helsinki, Finland	60.1913479 24.9026643
Rumsiskes, Kaunas County, Lithuania	54.867023 24.2190175
High Bridge, New Jersey, USA	40.6670454 -74.8957231
Queenstown, New Zealand	-45.0321923 168.661
Sumiac, Slovakia	48.8399675 20.1297354
Eltham, New Zealand	-39.4282209 174.3048314
Sparta, Missouri, USA	37.0011646 -93.0815678
East Bridgewater, Massachusetts, USA	42.0334341 -70.9592096
Sedalia, Missouri, USA	38.7098314 -93.2295515
Roccapiemonte, Campania, Italia	40.762465 14.6923748
Masny, France	50.3498274 3.2035349
Concrete City, Pennsylvania, USA	41.1891045 -75.9760906746283
Encino, California, USA	34.1591324 -118.5016166
Centro de Arte Moderna, Lisbon, Portugal	38.7359143 -9.153252119716395
Phasi Charoen, Bangkok, Thailand	13.7128298 100.4343153
Strehla, Saxony, Germany	51.367835799999995 13.22181657972413
Braila, Braila, Romania	45.2716092 27.9742932
Dublin 3, Dublin, Ireland	53.361220700000004 -6.18546561177035
La Tigra, Chaco, Argentina	-27.121908400000002 -60.59065488494146
Waimauku, Auckland, New Zealand	-36.768641 174.4873615
San Ygnacio, Texas, USA	27.0425616 -99.4395667
North Cardiff, Wales, UK	51.5059824 -3.2302353
Cleveland Heights, Ohio, USA	41.5200518 -81.556235
Mannsville, Oklahoma, USA	34.1859286 -96.8805632
Faulkner, Maryland, USA	38.4390126 -76.9783066
Sanford, Florida, USA	28.8117345 -81.2680223
Harquahala Mountains, Arizona, USA	33.686143 -113.6063172
Hephzibah, Georgia	33.3140311 -82.0967857
Puriscal, Costa Rica	9.733365599999999 -84.4094350689388
Dywity, Warminsko-Mazurskie, Poland	53.83404 20.47337
Waldsassen, Bavaria, Germany	50.0053222 12.3041123
Mapimi, Durango, Mexico	26.1581255 -104.1410157382739
Bairro Alto, Lisbon, Portugal	38.7135903 -9.145729879890458
Kartanonkoski, Vantaa, Finland	60.2810803 24.9639027
Dunmore, Pennsylvania, USA	41.417659650000004 -75.61145160208775
Saint-Cyr-sur-Morin, Seine-et-Marne, France	48.9060369 3.1868048
Ranger uranium mine, Northern Territory, Australia	-12.683884200000001 132.90816336948546
Menshikov Palace, St. Petersburg, Russia	59.93893525 30.295309592515363
Ellicottville, New York, USA	42.2750669 -78.6727932
Walker, Michigan, USA	43.005597 -85.7741906
Twin Valley High School, Elverson Pennsylvania, USA	40.1624676 -75.85586770570788
Avenue de la Porte Neuve, Monaco-Ville, Monaco	43.7319299 7.423368
Alpine, Colorado USA	37.6891702 -106.58893
Landschaustrasse 25, 6006 Lucerne, Switzerland	47.06120935 8.317578158391782
Urania, Vienna, Austria	48.211546999999996 16.383753756973725
Utah County, Utah, USA	40.177058 -111.69107185434031
Inyokern, California, USA	35.652055000000004 -117.81766295868346
Gwangju, South Korea	35.1594647 126.8515034
Salento, Apulia, Italy	40.150624 18.35263
Santo Domingo de la Calzada, La Rioja, Spain	42.4406711 -2.9536395
Versailles, Kentucky, USA	38.052576 -84.7299464
Brasov, Romania	45.6523093 25.6102746
Confederation Bridge, Prince Edward Island, Canada	46.1911899 -63.7776761
Orangeburg, South Carolina, USA	33.4918203 -80.8556476
Tlacotepec, Mexico	19.2248993 -99.6782426
Haywood Park Hotel, Asheville North Carolina, USA	35.595568150000005 -82.5549320876122
The Bayou, Florida, USA	30.3946838 -86.5945626
Vama Veche Beach, Romania	43.7547252 28.5725802
Armatoliko, Trikala, Greece	39.4867931 21.3107201
R.D. Bailey Lake, West Virginia, USA	37.6108985 -81.79848480186268
Yoakum, Texas, USA	33.1536951 -102.833579
Poitiers, Vienne, France	46.5802596 0.340196
Hasimta Theatre, Tel Aviv-Yafo, Israel	32.053302849999994 34.75170973686846
Climax, North Carolina, USA	35.9129138 -79.7175279
Lian, Batangas, Philippines	14.0361178 120.653454
Union Beach, New Jersey, USA	40.447977 -74.17447309509372
Los Angeles, CA 90035, USA	34.0536909 -118.242766
Nieszkowice Male, Malopolskie, Poland	49.9376583 20.3303297
20015, San Sebastian, Spain	41.619049 -0.2384214
Catninga, South Australia, Australia	-32.536475 137.9442851
Mystic, Iowa, USA	40.7779741 -92.944819
Trzebnica, Dolnoslaskie, Poland	51.3096424 17.062596
Samarra, Iraq	34.2 43.9
Ravengiersburg, Rhineland-Palatinate, Germany	49.9363028 7.4767085
Tazewell County, Virginia, USA	37.1236041 -81.5684129
Macon, France	46.3036683 4.8322266
